"Column","Mean","Std. deviation","Variance","Median"
"Accuracy",0.3375,0.05590169943749474,0.003125,0.375
"F-measure",0.3868132859204288,0.04807249956490497,0.0023109652144177885,0.38978174603174603
"Precision",0.3431382275132275,0.056855584373984726,0.003232557474507296,0.324074074074074
"Recall",0.3375,0.05590169943749474,0.003125,0.375
