fold,epoch,train_loss,train_accuracy,train_f1_weighted,train_f1_macro,val_loss,val_accuracy,val_f1_weighted,val_f1_macro
1,1,1.5959548131929457,0.42639372822299654,0.4305592697868893,0.4140048570780282,1.6391812496715121,0.4210069444444444,0.41698006133936427,0.37341857432918624
1,2,1.0872685473139694,0.5979965156794426,0.6015443635128614,0.588207991125931,1.8571384416686163,0.3680555555555556,0.35928757298173886,0.3402367042231538
1,3,0.8893065186743122,0.6689895470383276,0.6719577958535857,0.6605371497744011,1.882569478617774,0.4548611111111111,0.4600054747696428,0.42851679110139074
1,4,0.7392700000922439,0.7288763066202091,0.7304892897049472,0.7212325902355692,1.983298699061076,0.4210069444444444,0.42494341427502635,0.38720918773268287
1,5,0.6426966398019824,0.7621951219512195,0.7635210754477503,0.7565010260818,2.1682663957277932,0.4583333333333333,0.4682741430915704,0.4265195599895515
1,6,0.580069318984859,0.7913763066202091,0.7921526413731063,0.7867267695773384,2.2295216586854725,0.4331597222222222,0.43813653275897985,0.4063824612406296
1,7,0.5235948606235225,0.8072735191637631,0.8078780831031,0.8019754426367502,2.4385373261239796,0.4322916666666667,0.44612658286676893,0.43303443732813085
1,8,0.4913347230555704,0.8229529616724739,0.8234762172846564,0.8188139496530499,2.4853128724628024,0.4201388888888889,0.4164097748874228,0.3749177532264505
1,9,0.470893463191255,0.8434233449477352,0.8442178961521015,0.8365488961790217,2.8662995563613043,0.4149305555555556,0.4103030718444318,0.3761544907754588
1,10,0.41842022621257796,0.8595383275261324,0.8598357977750414,0.8569123088316777,3.072836332850986,0.4314236111111111,0.4377237220909787,0.4015007844754477
2,1,1.5953709759363315,0.45056620209059234,0.45643113789813256,0.43415152282038216,1.7747320863935683,0.3550347222222222,0.3694786545814243,0.34140029123983995
2,2,1.0672591467767643,0.6130226480836237,0.6171924679211338,0.6024198966772276,1.8954000605477228,0.3828125,0.3847339516524454,0.3517595196041785
2,3,0.8859923008426972,0.6718205574912892,0.6746300638868983,0.663326337472628,1.9622860617107816,0.421875,0.4255681912876239,0.4012228178008418
2,4,0.7406600155066114,0.7262630662020906,0.7280624507853825,0.7189574170515103,2.23976465066274,0.3836805555555556,0.3813450878255176,0.3528832502846544
2,5,0.6251570632233437,0.774390243902439,0.7753194126227264,0.7686208110671418,2.3896519475513034,0.4192708333333333,0.41896110764451244,0.38095041953864883
2,6,0.5887806004348117,0.7887630662020906,0.7902782542972953,0.7813274929892396,2.8470863501230874,0.4140625,0.4105713694730786,0.3763639776129414
2,7,0.5302140820732515,0.8064024390243902,0.8075493387506045,0.79922763004701,2.4153274595737457,0.3784722222222222,0.3756038305727692,0.3541278655358526
2,8,0.5324820464911777,0.8216463414634146,0.8224470173913784,0.8137457951641042,2.8702526291211448,0.4210069444444444,0.4176760526399373,0.38930266704796745
2,9,0.47567643386146335,0.8399390243902439,0.8407940135342573,0.8339046677825217,2.926861670282152,0.3967013888888889,0.40127015945232175,0.3697115500289754
2,10,0.41869067107343505,0.8567073170731707,0.8573510169040466,0.8511425412493282,3.1800212462743125,0.4383680555555556,0.432457388367567,0.40373856568915145
3,1,1.5968970363563777,0.4327090592334495,0.43933513598535606,0.4187388973901929,2.027143097586102,0.4244791666666667,0.3937350252466637,0.34160227915301267
3,2,1.0754108501643669,0.5921167247386759,0.5969893964773539,0.5790136290898301,1.9433133105436962,0.4001736111111111,0.38486762545241304,0.34934576267823214
