fold,epoch,train_loss,train_accuracy,train_f1_weighted,train_f1_macro,val_loss,val_accuracy,val_f1_weighted,val_f1_macro
1,1,1.652486531161265,0.4287891986062718,0.4338672330859172,0.4146021869296176,1.6194645033942328,0.4140625,0.4166956252426516,0.3902658107444717
1,2,1.2189391735123425,0.600609756097561,0.6041358110117389,0.5891819167658605,1.5011411044332716,0.4487847222222222,0.4583021726784244,0.4193784230633448
1,3,1.054342143626994,0.6533101045296167,0.6566061431520557,0.6448225264814913,1.473990559577942,0.4947916666666667,0.4951757510084717,0.4484490356778831
1,4,0.9347562135719673,0.6957752613240418,0.6981208557786366,0.6895194535471748,1.4374392761124506,0.4869791666666667,0.4952602998591096,0.4535073573513238
1,5,0.843650795026108,0.7312717770034843,0.7335882198214085,0.7237809629264552,1.4239563875728185,0.4947916666666667,0.5006008151990986,0.4574271584943696
1,6,0.7768829971655736,0.7593641114982579,0.760974706450173,0.7545005834782883,1.4327754577000935,0.4861111111111111,0.4916305695750989,0.44745346612001
1,7,0.728901815331356,0.7672038327526133,0.7688008851844513,0.761788025902548,1.4498476617866092,0.4835069444444444,0.4928254000529602,0.4478966894662451
1,8,0.6870447567531041,0.7820121951219512,0.7830307422767763,0.7772314727149334,1.45621344115999,0.4947916666666667,0.5042285512511153,0.4627852777523027
1,9,0.6491706551990443,0.7998693379790941,0.80101995495684,0.7962775947476467,1.45676471458541,0.5008680555555556,0.5037159997775701,0.4593875833802866
1,10,0.6131791329134632,0.8144599303135889,0.8149038051721519,0.8121810487970438,1.4674558341503143,0.4930555555555556,0.5006239854562955,0.456507968621974
2,1,1.6563392890039637,0.4377177700348432,0.4428081154377142,0.4271313789199238,1.597773512204488,0.3871527777777778,0.3988683098748812,0.3723536775523476
2,2,1.2254318277179572,0.6108449477351916,0.6165744574051069,0.6013067778022342,1.506059295601315,0.4097222222222222,0.4174377956586944,0.3879826492325096
2,3,1.040365112783186,0.6753048780487805,0.6797932161438095,0.668517046440239,1.4755396644274394,0.4105902777777778,0.4186151504467678,0.3843983698196
2,4,0.9299460715948497,0.7164634146341463,0.7199712934672444,0.707167089215743,1.448230915599399,0.4401041666666667,0.447581252034872,0.4144218822578247
2,5,0.8547112360233213,0.7306184668989547,0.7336446532295573,0.7235826174735307,1.4364021685388353,0.4444444444444444,0.4543969478369486,0.4208467421886938
2,6,0.7882300804301006,0.7565331010452961,0.7588177897079801,0.7505339479163389,1.4504613015386794,0.4418402777777778,0.4521499376820309,0.413886487628559
2,7,0.7356276217237998,0.7608885017421603,0.76319345833489,0.7537818111273682,1.451591518190172,0.4427083333333333,0.4537712839760515,0.413417042343982
2,8,0.6904782021502585,0.7839721254355401,0.7857167176962607,0.7784468209241124,1.4444793197843764,0.4487847222222222,0.4625955072119261,0.4251999355153352
2,9,0.6442929805363512,0.8009581881533101,0.802746311887128,0.7967075164482736,1.459373242325253,0.4453125,0.4537784020402486,0.416525930344808
2,10,0.6193264027090438,0.806184668989547,0.807532072142922,0.8040047973162048,1.4637025660938687,0.4548611111111111,0.4659191012312701,0.424962352711322
3,1,1.6683237091589471,0.4172473867595819,0.4220194944946042,0.4042133952426665,1.5968252552880182,0.4088541666666667,0.4126699061986135,0.3815576639426142
3,2,1.2330799663523764,0.6104094076655052,0.6162788967893349,0.5966158438674956,1.5357213550143771,0.4140625,0.4144297523691488,0.3833272122200009
3,3,1.0473155555824785,0.663109756097561,0.6688123823244604,0.6509619838018452,1.5299640397230785,0.4270833333333333,0.4320843008452507,0.4023569849060721
3,4,0.9327726640352388,0.7051393728222997,0.7091290258604542,0.6945284119406765,1.5255872905254364,0.4375,0.4358459366451095,0.4005876821649758
3,5,0.8494267064935239,0.7367160278745645,0.739617332903916,0.7286276790872908,1.5372880862818823,0.4244791666666667,0.4330085998107843,0.3997429134062429
3,6,0.7848649702005686,0.7454268292682927,0.7484869528732035,0.737713353447109,1.5629380146662395,0.4444444444444444,0.4450692669845087,0.4050156828919127
3,7,0.7331424833174782,0.7737369337979094,0.7763052374387681,0.7657127916194529,1.562792072693507,0.4470486111111111,0.4440676188636402,0.4066900087846832
3,8,0.6765494307159131,0.7931184668989547,0.7951488589700425,0.7881051142887571,1.6014239423804812,0.4496527777777778,0.4501491345969215,0.409902527660148
3,9,0.6458394247065022,0.805095818815331,0.806734732926894,0.7997265005804988,1.5992367267608645,0.4409722222222222,0.4390450793592684,0.4052060926793343
3,10,0.6169400271222982,0.8083623693379791,0.8095777834003927,0.8030765700906985,1.6067801978853014,0.4557291666666667,0.4560353086240452,0.4209322565480735
4,1,1.6738970317076307,0.4181184668989547,0.4265082859060282,0.405969867629381,1.4851016402244568,0.5121527777777778,0.5152391839703251,0.4910501505048109
4,2,1.2504005648117862,0.5945121951219512,0.6010277489655659,0.5844627619976875,1.3716162873639002,0.5095486111111112,0.5172682854254173,0.4820713222028044
4,3,1.080590457866416,0.6524390243902439,0.6563373694879866,0.6445518249036876,1.320393916633394,0.5173611111111112,0.5254843492157739,0.4915074770544011
4,4,0.9547179152325886,0.6925087108013938,0.6952540285030311,0.6850354004737622,1.3149830102920532,0.5173611111111112,0.5240180406614754,0.4860543713393419
