"value","fold","epoch","set","metric"
1.652486531161265,1,1,"train","loss"
0.4287891986062718,1,1,"train","accuracy"
0.4338672330859172,1,1,"train","f1"
1.6194645033942328,1,1,"val","loss"
0.4140625,1,1,"val","accuracy"
0.41669562524265163,1,1,"val","f1"
1.2189391735123425,1,2,"train","loss"
0.600609756097561,1,2,"train","accuracy"
0.6041358110117389,1,2,"train","f1"
1.5011411044332716,1,2,"val","loss"
0.4487847222222222,1,2,"val","accuracy"
0.45830217267842444,1,2,"val","f1"
1.054342143626994,1,3,"train","loss"
0.6533101045296167,1,3,"train","accuracy"
0.6566061431520557,1,3,"train","f1"
1.473990559577942,1,3,"val","loss"
0.4947916666666667,1,3,"val","accuracy"
0.4951757510084717,1,3,"val","f1"
0.9347562135719671,1,4,"train","loss"
0.6957752613240418,1,4,"train","accuracy"
0.6981208557786366,1,4,"train","f1"
1.4374392761124506,1,4,"val","loss"
0.4869791666666667,1,4,"val","accuracy"
0.49526029985910963,1,4,"val","f1"
0.843650795026108,1,5,"train","loss"
0.7312717770034843,1,5,"train","accuracy"
0.7335882198214085,1,5,"train","f1"
1.4239563875728183,1,5,"val","loss"
0.4947916666666667,1,5,"val","accuracy"
0.5006008151990986,1,5,"val","f1"
0.7768829971655736,1,6,"train","loss"
0.7593641114982579,1,6,"train","accuracy"
0.760974706450173,1,6,"train","f1"
1.4327754577000935,1,6,"val","loss"
0.4861111111111111,1,6,"val","accuracy"
0.4916305695750989,1,6,"val","f1"
0.728901815331356,1,7,"train","loss"
0.7672038327526133,1,7,"train","accuracy"
0.7688008851844513,1,7,"train","f1"
1.4498476617866092,1,7,"val","loss"
0.4835069444444444,1,7,"val","accuracy"
0.49282540005296027,1,7,"val","f1"
0.6870447567531041,1,8,"train","loss"
0.7820121951219512,1,8,"train","accuracy"
0.7830307422767763,1,8,"train","f1"
1.45621344115999,1,8,"val","loss"
0.4947916666666667,1,8,"val","accuracy"
0.5042285512511153,1,8,"val","f1"
0.6491706551990443,1,9,"train","loss"
0.7998693379790941,1,9,"train","accuracy"
0.80101995495684,1,9,"train","f1"
1.4567647145854101,1,9,"val","loss"
0.5008680555555556,1,9,"val","accuracy"
0.5037159997775701,1,9,"val","f1"
0.6131791329134632,1,10,"train","loss"
0.8144599303135889,1,10,"train","accuracy"
0.8149038051721519,1,10,"train","f1"
1.4674558341503143,1,10,"val","loss"
0.4930555555555556,1,10,"val","accuracy"
0.5006239854562955,1,10,"val","f1"
1.6563392890039637,2,1,"train","loss"
0.4377177700348432,2,1,"train","accuracy"
0.4428081154377142,2,1,"train","f1"
1.597773512204488,2,1,"val","loss"
0.3871527777777778,2,1,"val","accuracy"
0.3988683098748812,2,1,"val","f1"
1.2254318277179572,2,2,"train","loss"
0.6108449477351916,2,2,"train","accuracy"
0.6165744574051069,2,2,"train","f1"
1.506059295601315,2,2,"val","loss"
0.4097222222222222,2,2,"val","accuracy"
0.41743779565869443,2,2,"val","f1"
1.040365112783186,2,3,"train","loss"
0.6753048780487805,2,3,"train","accuracy"
0.6797932161438095,2,3,"train","f1"
1.4755396644274394,2,3,"val","loss"
0.4105902777777778,2,3,"val","accuracy"
0.4186151504467678,2,3,"val","f1"
0.9299460715948497,2,4,"train","loss"
0.7164634146341463,2,4,"train","accuracy"
0.7199712934672444,2,4,"train","f1"
1.448230915599399,2,4,"val","loss"
0.4401041666666667,2,4,"val","accuracy"
0.44758125203487203,2,4,"val","f1"
0.8547112360233213,2,5,"train","loss"
0.7306184668989547,2,5,"train","accuracy"
0.7336446532295573,2,5,"train","f1"
1.4364021685388353,2,5,"val","loss"
0.4444444444444444,2,5,"val","accuracy"
0.4543969478369486,2,5,"val","f1"
0.7882300804301006,2,6,"train","loss"
0.7565331010452961,2,6,"train","accuracy"
0.7588177897079801,2,6,"train","f1"
1.4504613015386794,2,6,"val","loss"
0.4418402777777778,2,6,"val","accuracy"
0.45214993768203093,2,6,"val","f1"
0.7356276217237998,2,7,"train","loss"
0.7608885017421603,2,7,"train","accuracy"
0.76319345833489,2,7,"train","f1"
1.451591518190172,2,7,"val","loss"
0.4427083333333333,2,7,"val","accuracy"
0.4537712839760515,2,7,"val","f1"
0.6904782021502585,2,8,"train","loss"
0.7839721254355401,2,8,"train","accuracy"
0.7857167176962607,2,8,"train","f1"
1.4444793197843764,2,8,"val","loss"
0.4487847222222222,2,8,"val","accuracy"
0.4625955072119261,2,8,"val","f1"
0.6442929805363512,2,9,"train","loss"
0.8009581881533101,2,9,"train","accuracy"
0.802746311887128,2,9,"train","f1"
1.459373242325253,2,9,"val","loss"
0.4453125,2,9,"val","accuracy"
0.4537784020402486,2,9,"val","f1"
0.6193264027090438,2,10,"train","loss"
0.806184668989547,2,10,"train","accuracy"
